Ive tried so many other strings over the years just to see if I was missing something I wasnt Theres something about the feel and tone of Ernie Ball Regular Slinkys that I absolutely love My local music store has 3 for the price of 2 deal on strings which is a nice deal however this deal is a little sweeter If you can wait for the delivery its a no brainer Very good value,positive
This cuts strings with no problems It doesnt take a lot of pressure to squeeze the handles and it doesnt damage the cutting blades like some wire cuttersHighly recommended for frequent string changes Stays in my case,positive
Probably the best capo I have ever had Its easy to put on and holds the strings well Although you always need to check the tuning after putting any capo on a guitar this one seems not to upset the tuning too much Im impressed G7th Performance Capo,positive
im not a profesional player but i like to play once in a while just for fun and this sound great Everything a hobbiest want,positive
These strings are great for a 12 string I started using coated strings on all of my guitars last year and have gotten use to the smooth feel A 12 string is a little harder on the fingers so the coating is nice to have They sound as bright and clean as any uncoated string I have used on this guitar And I think they will last longer Which is nice because the guitar is really not much fun to restring Perfect,positive
Im a total beginner so I dont really know if my review will be useful I have nothing to compare these too except my Lee Oskar They sound good to methats whats most important right These do have a kind of nasty 34new car smell34 to them but Im leaving the box open to see if airing them out helps Its not a big deal but its the only negative I can find with them Rock on bro Now I have all the harps I need,positive
i have only used it a couple of times but the cable works it is what i expected it to be seems fine,positive
I had a hard time lineing them up to install the little knob on them made it very hard to installso good luck Hard to install,neutral
It came in nice packagingCable looks great feels of high qualitySo far it still works well10 ft is nice for homeIf youre a performer longer is required As good as Advertized,positive
Very handy has multiple benefits that are very useful I just had to loosen the screw that holds the winder a bit and lubricated it with silicone spray and done deal Works Well,positive
Pretty cool gadget a whole lot less trouble than opening and closing bottles cans or sprays and does on a set of old strings Gig bag neccessity,positive
This was for a friend who needed a Guitar Capo He hasnt had any problem with the capo yet And the price was right Guitar Capo,positive
Cant get your banjo to sound right without a great set of finger and thumb picks have been using these for years now Banjo essentials,positive
I love the Dunlop Formula 65 polish and cleaner It works really well and I like the easy to use pump spray mechanism Ive used other brands in the past and they had poor spray nozzles This one works almost like a mist It does a good job of removing smudges and fingerprints I spray it directly on the surface of the guitar and then wipe it off with a flannel cloth After Im done the shine looks glassy and great Makes guitar look and feel new,positive
First off this costs extra because of the drum pads which are pretty much useless You have to practically hit them with a hammer to get a response The keyboard feel flimsy and they are indeed small and not very playable There is no modulation wheel but you do get crappy unresponsive pads and cheap knobs HATE the mini USB jack since those connections rarely last For this price it is a Do Not Recommend for me Not Impressed,neutral
This mic is well made heavy on the micend However I have yet to try it with my multitrack studio good mic,positive
In this price point its a good capo if you know how to put one on and use it I use it for lessons in case a kid steals it so Im not losing my G7 capo which was 40 Great capo For the price great capo,positive
First let me tell you what this pedal cant do It wont do long delays So if youre into the sound of The Edge from U2 or David Gilmour look for something else Expect to shell out over a hundred dollars for a delay pedal with lots of knobs and switches that are more versatile But if you just need a slapback delay or just a touch of ambience this pedal will not disappoint Analog delay pedals are known to have a warm tonal characteristic Users of MXR Carbon Copy swear by them But for around 30 the Rogue pedal will get you close minus the longer delay time Ive read in some guitar forums that these are the same as the Belcat and Modtone boxes The pedal itself looks sturdy made out of metal Compared to my digital delay the Rogue sounded warmer although my other delay has a switch for echo that made it warmer too This pedal sounded good and I have no complaints I dont use a long delay time in fact I dont max it out I only use about 7580 percent Before judging this pedal please experiment on its placement on your pedal board The user manual advises you to put it before the distortion but unfortunately it doesnt sound good on my rig Placing after the distortion pedal sounded better However everytime I use the dirt channel of my Traynor YCV40 the tone gets muddy Now its in the effects loop just like my other delay The sound has better definition It might sound different on your amp but at least try placing it before the distortion then after the distortion and finally the effects loop in your amp Ultimately you and your gear will have the last say Overall a good deal for the price Im thinking of setting up a smaller board of 4 inexpensive pedals for that grab and go situation where my big board will be too cumbersome And if anything goes wrong I can easily replace the pedals Joyo Rogue Mooer Play on Another budget surprise,positive
I wanted to find a device that let me record easily when at a gig or just in my office I did a LOT of research into devices that were USB only even other ones that Focusrite sold The main reason I picked this one was its versatility in being both iPad and USB compatibleThe complaints about the iPad connector cable are valid its too stiff and short I feel like I might accidently break it off if Im not too careful Why it uses a proprietary connector on the back of the unit Ill never know To combat the included 30pin cable I bought a10 3ft 30pin extension cable which seems to do the job nicely The GarageBand software on the iPad is simple enough to use and while it can only record one of the 2 input channels at a time thats fine for what I expected To record from a live soundboard I just use the XLR input set the gain with the awesome colored halo ring and save the recording as a mono trackBeing small and solidly built Ive got no problem tossing this in the milkcrate with the rest of my cables and peddlesIn regards to how it records when plugging into a computer via USB an iMac in this case its even better than I expected The GarageBand software on the Mac does have the ability to record both input channels at the time time The onboard monitor volume and headphone is fantastic I thought it only would play back what was being input at that moment but it does more than that Its a real monitor the GarageBand software recognizes its the monitor output and when you have a multitrack recording that youre working on the software allows you to pass back other tracks from the computer while recording a new trackFor example I recorded a track with just the guitar track 1 I was using the 14 input channel and laid down that track Then I created a second guitar track and recorded a second guitar part headphones plugged into iTrack Solo and I was able to hear both the current track I was recording and the first track Lastly I plugged in a mic into the first input and created a 3rd vocal only track When I was singing I was able to hear both guitar parts with the headphones still plugged into the iTrack Solo as well as my vocals recording in realtime I wasnt expecting this level of capability and was very impressed by the lack of any noticeable latency in both the backing tracks and the vocals I was recording with all 3 going at the same timeThe last thing I want to mention is the XLR preamp Focusrite has been making highend professional recording equipment for a long time and the thing theyre most wellknown for is the mic preamp I have to say it is spectacular There is absolutely no noise no hiss or clicks of any kind The gain staging nobs with the color halos make it so easy to setup its almost too easy The sound it captures is exactly what you expect and youll notice right away if youre using a low quality microphone It definitely stands up to their reputation Having 48v phantom power to use those top dollar condenser mics is also a really nice thing to have The demos on their website show how simple it is to use Once you start playing with it youll realize it is a really nice tool for a solo artist or someone who wants high portability but great sound quality Portable durable and GREAT mic preamp,positive
These Nandy mics are great entry level mics if you are looking not spend to much cash They have a long range and great sound fidelity If you are trying to save on your budget these are great if money is not an option keep on looking Great entry mic,positive
This works and I really like Evans But I got 2 of these and they both looked different and looked cheap Although I have been using it for awhile now with hard use and it is holding up great and saving my kick drum head from abuse Works not great,neutral
Very good quality cable and plugs Easy to make custom length cables from 3 inches to 30 ft My pedal board looks so professional and uncluttered that I actually made room for 1 more because there was no extra wire to get in the way Custom Cables at a low price,positive
I have played it with the strings it came with and as a guitarist for 20 years I can attest to the fact that this is a great practice guitar or for taking to the James river I used to take my 700 Ibanez electric acoustic down to that river and it was sometimes a scary thing The Ibanez is heavy where this Rogue is light as a feather and it did not cost a lot of money I want at least one more of these to carry around with me everywhere I go When it dies i will buy another one You cannot use this for performance of any kind but for yourself friends and family around the campsite or wherever it is perfect Great little disposable guitar,positive
Great device and good priceMy Wife made me try this for a Gig we had It worked great I love the foggy effect on stage with a touch of lighting it really comes to lifeThe fog juice this thing comes with has a funky scent though Perhaps it might be wise to get some scent thingie to toss in the tank with the juice I dont know if the other brands of fog juice smells weird also but I have another can of juice I bought to use later I will report on thatI gave it 5 stars although the fog juice is funky because its not the fog juice that matters its how the machine works It does what it should do Great Device Good Price,positive
This is my second 4 way switch and it wont be the last The four way gives you an added combination of neck and bridge in series which gives a fatter tone than position 2 and more output than positions 12or 3 I am very pleased with the 34new sound34 of my tele The wiring diagram is very easy to understand and the install is pretty easy if you have a soldering gun dont forget to lay down some newspaper to protect your guitar finish from solder Sounds great,positive
These are perfect for those using Dunlop strap locks but have more guitars than straps These are Allparts parts quick USPS shipping More guitars than straps,positive
I now have two of these really wish now I had ordered more at the time before the slight price increase kicks self and all I can say you simply cant beat it I also have a Hercules Tristand 10x more expensive than this one and between the two gotta admit the only major advantage my tristand has is saving space which actually is a huge consideration for me I honestly dont know why other reviewers have had such a hard time with balance as the two Musicians Gear Tubular Guitar Stands I currently own never once have given me an issue aside from bodily running INTO the thing and they have helddo hold a variety Guitars of various styles Banjos both open back and BG resonator Mandolas anything with a long neck All in all unless there is some specialized stand need I would first come to Musicians Gear All purpose stand best bang for the buck,positive
This pedal fish and chips which i find it to taste nothing like works nicelyAnd was pretty cheapIve heard some complaintsworries about the flimsiness of the plasticAs of 0313 the plastic seems pretty thickdurableThe switch does seem of a poor quality but if it did break im sure either send it in and get a new one or put a nicer switch in yourselfAs for noise It doesnt seem to add much unless you have the gain switch at the end turned up high and with distortion and what have youI havent gotten to blast play bedroom level technically since ive gotten it but it sounds good through the headphonesIm using a squire strat fryette sas distortion now the fish and chips boss me50 all running into for now my vox vt20 which is outputting to my headphones sooooIts sounding nicer that wayI cant wait to get it through my other ampsIve also heard of very very short battery life Ive got the standard 9v i think from planet waves and its powering it just right so farTomorrows the real test a few hours at least Seems good,positive
Cant believe they are still selling these things at full price with the old 30 pin connector I have lots of pads but none still have the old style connector This is now a boat anchor To buy a 3 meter cable from them they charge 40 for the cable 15 to ship it and then tax The extortion here is almost Monster cable like These folks should be embarassed Old 30 pin connector makes this thing worthless 54 to get one,negative
I started experimenting on strings Ill try using bronze strings I noticed when I was using the phosphor bronze after a while it started to sound dull When I switched to bronze it sounded better and lasted longer I decided I would use bronze strings for my acoustic guitar for most of the time I would recommend others to try it The best bronze acoustic guitar strings,positive
This is a very stable comfortable seat The legs are easily removable for storage Love that it is rated for higher weights so I dont have to worry about it collapsing Stable,positive
the thing is that they dont seem to stay i mean you can change the position of the pop filter by varying the shape of the metallic 34arm34 but it doesnt stay where you put it and also the material of the filter is of kinda poor quality but i think if youre lucky if just might get the job done mmm not that pleased,negative
Great pedal very lush and usable tones Think Lightning Crashes by the band Live Ok I was going to initially give it 4 stars because of the following reasons plastic knobs foot switch does not click very miniscule volume drop with engagement actually I moved the pedal to a different spot in my signal chain and I think that resolved the volume issue but I cant tell I guess if it is too close to tell then its a non issue Then I performed a reality check on myself and looked at the price again Metal enclosure Works like a charm Twenty four tax free bucks and free shipping It gets 5 stars because there is nothing even close at this price Think Lightning Crashes,positive
this picks are great for hard rock since they are heavey but not that heavy for solos I play a lot of metallica songs with it an they are great Great for metal,positive
Look just like Schaler branded parts without the Schaler brand name stamped on them there is a little Fender logo on the bottom real coolThese strap locks are the greatest they work perfectly every time and will survive years of on the road abuse I have carried an extra set with me in my case in the event that I broke one but this has never happenedTouring bar bands garage bands or bedroom heroes all need these strap locks on every guitar and strap they own And since the guitar isnt hanging by the hole in the strap the strap lasts years longer Great parts just like the Schaler counterparts,positive
I thought it was my jack for a while then I noticed it wouldnt stay in any pedal There is no click assuring that the cable is in place and theres a reason for that it isnt Slips right out of every pedal I have Not reliable Plug slips right out of any jack,negative
I was a little nervous for some reason when I started watching this I saw it in the theatre I was afraid I might be in for another Live Aid let down or something like that I had heard the epic reviews and the internet buzz when the actual event happenedbut had no idea if this would be as good as all that Never fear you need to see this film The guys prove that the hype was legit I was so stoked when they launched in to some of my faves like For Your Life even if the performances of Dazed and Confused and Stairway seemed a little pedestrian But hey its LZ doing Stairway which is better than 99 of the music on the planet so who cares if it was an obligatory performance The show seems to get better as it goes along and by the time Kashmir comes on I had tears in my eyes No joke This show is riveting I bought the BluRay so I could continue to experience the awesomeness of this show which really defies description I am not sure if nonLZ fans can appreciate how incredible this show is or what the band accomplished in doing this They took it seriously and rehearsed for 7 weeks for this one event Jason Bonham did a good job of honoring his father and staying true to the original material and live nuances developed over multiple tours in the 70s If you love LZ you probably already have this set if you have a passing interest only you will witness a onenightonly reunion that blows away any of the other weak attempts by older bands of this era Its pretty awesome Led Zepsilences the doubters,positive
I purchased this for my guitar lessons studio to teach beginners how to string their guitars properlyTo my surprise I am very impressed with it now it doesnt compare to a 60 100 unit nor is it supposed to it does its just quickly and cleanly A must have for any guitar player,positive
For a ten spot ya cant do better Matte flat black finish is niceGreat durable foam contact points for cradling babyDouble dog dare ya to do betterYou just cannot Excellent deal Sawbuck Best Bud,positive
so cheap I bought one for each of my ukuleles would never use a pitch pipe again and I guess I might be tone deaf cuz i cannot tune them without these I love snark tuners,positive
Brass Tacks is this the greatest mic in the world No But on a budget this mic is AMAZING The lows and highs sound great and the mids sound well fleshed out If you are looking for s nice rich sound this is itIf you want to upgrade from a headset cheap mic Blue Yeti or AT2020 buy this mic and an audio interface You wont regret it Wonderful,positive
